
2022/08/08 (23:15:45) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2022/08/08 (23:15:45) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2022/08/08 (23:15:46) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2022/08/08 (23:15:46) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2022/08/08 (23:15:46) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2022/08/08 (23:15:46) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2022/08/08 (23:15:46) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2022/08/08 (23:15:46) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2022/08/08 (23:15:46) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2022/08/08 (23:15:47) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2022/08/08 (23:15:47) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2022/08/08 (23:15:47) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2022/08/08 (23:15:47) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2022/08/08 (23:15:47) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2022/08/08 (23:15:47) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2022/08/08 (23:15:47) | DEBUG: Loading theme file: /home/gui/.config/btop/themes/catppuccin_latte.theme
2022/08/08 (23:15:48) | DEBUG: Loading theme file: /home/gui/.config/btop/themes/catppuccin_frappe.theme
2022/08/08 (23:15:48) | DEBUG: Loading theme file: /home/gui/.config/btop/themes/catppuccin_mocha.theme
2022/08/08 (23:15:48) | DEBUG: Loading theme file: /home/gui/.config/btop/themes/catppuccin_macchiato.theme
